date,title,url
2011-03-24,"Zingabai Takli complain of lack of amenities",http://timesofindia.indiatimes.com//city/nagpur/Zingabai-Takli-complain-of-lack-of-amenities/articleshow/7772899.cms
2011-04-20,"Delhi Daredevils rue lack of spinners",http://timesofindia.indiatimes.com//ipl/news/Delhi-Daredevils-rue-lack-of-spinners/articleshow/8033393.cms
2010-11-15,"Rural kids voice their disappointment over lack of schools in their vicinity",http://timesofindia.indiatimes.com//city/chennai/Rural-kids-voice-their-disappointment-over-lack-of-schools-in-their-vicinity/articleshow/6926814.cms
2011-09-08,"Deaths not due to lack of oxygen, says panel",http://timesofindia.indiatimes.com//city/jaipur/Deaths-not-due-to-lack-of-oxygen-says-panel/articleshow/9903819.cms
2011-09-08,"Jodhpur deaths not due to lack of oxygen, says three-member panel",http://timesofindia.indiatimes.com//city/jaipur/Jodhpur-deaths-not-due-to-lack-of-oxygen-says-three-member-panel/articleshow/9904768.cms
2011-05-30,"India, US, China and Germany lack talent",http://timesofindia.indiatimes.com//home/education/news/India-US-China-and-Germany-lack-talent/articleshow/8647504.cms
2011-08-28,"Lack of contractor agreements stall projects in PCMC areasPCMC projects stalled due to lack of contractors yet to sign agreement",http://timesofindia.indiatimes.com//city/pune/Lack-of-contractor-agreements-stall-projects-in-PCMC-areasPCMC-projects-stalled-due-to-lack-of-contractors-yet-to-sign-agreement/articleshow/9768343.cms
2010-07-01,"'Agriculture sector hit by lack of rain'",http://timesofindia.indiatimes.com//city/pune/Agriculture-sector-hit-by-lack-of-rain/articleshow/6112746.cms
2010-10-08,"Akhil slams IBF for lack of doctors",http://timesofindia.indiatimes.com//india-news/Akhil-slams-IBF-for-lack-of-doctors/articleshow/6709880.cms
2010-08-07,"BJP slams govt for lack of views on caste census",http://timesofindia.indiatimes.com//india/BJP-slams-govt-for-lack-of-views-on-caste-census/articleshow/6267225.cms
2011-07-19,"BRO condemns lack of coordination between districts",http://timesofindia.indiatimes.com//india/BRO-condemns-lack-of-coordination-between-districts/articleshow/9278524.cms
2011-03-25,"State suffering from lack of mining training institutes'",http://timesofindia.indiatimes.com//city/bhubaneswar/State-suffering-from-lack-of-mining-training-institutes/articleshow/7789121.cms
2010-06-18,"Brazil lack pace: Arsene Wenger",http://timesofindia.indiatimes.com//interviews/Brazil-lack-pace-Arsene-Wenger/articleshow/6060944.cms
2011-01-23,"Canadian NRI bemoans lack of facilities in state",http://timesofindia.indiatimes.com//city/ludhiana/Canadian-NRI-bemoans-lack-of-facilities-in-state/articleshow/7349273.cms
2011-08-31,"Stranded passengers complain of lack of info",http://timesofindia.indiatimes.com//city/goa/Stranded-passengers-complain-of-lack-of-info/articleshow/9803146.cms
2011-06-21,"Patients lack civic sense: Officiating SMO",http://timesofindia.indiatimes.com//city/ludhiana/Patients-lack-civic-sense-Officiating-SMO/articleshow/8931158.cms
2011-07-01,"Unawareness, lack of facilities turn snakebites fatal",http://timesofindia.indiatimes.com//city/varanasi/Unawareness-lack-of-facilities-turn-snakebites-fatal/articleshow/9059506.cms
2011-10-07,"Many PU colleges lack canteen",http://timesofindia.indiatimes.com//city/patna/Many-PU-colleges-lack-canteen/articleshow/10271029.cms
2010-09-06,"India lack good club structure: Bhutia",http://timesofindia.indiatimes.com//sports/football/top-stories/India-lack-good-club-structure-Bhutia/articleshow/6506690.cms
2010-09-06,"India lack good club structure: Baichung Bhutia",http://timesofindia.indiatimes.com//articleshow/6508512.cms
2011-01-24,"Canadian NRI bemoans lack of facilities in Punjab",http://timesofindia.indiatimes.com//nri/us-canada-news/Canadian-NRI-bemoans-lack-of-facilities-in-Punjab/articleshow/7349622.cms
2011-02-18,"Players rue lack of planned diet at National Games",http://timesofindia.indiatimes.com//city/ranchi/Players-rue-lack-of-planned-diet-at-National-Games/articleshow/7518337.cms
2011-07-24,"SBI PO exam fiasco; candidates refused entry for lack of documents",http://timesofindia.indiatimes.com//city/nagpur/SBI-PO-exam-fiasco-candidates-refused-entry-for-lack-of-documents/articleshow/9350015.cms
2010-05-27,"Patnaites' lack of civic sense irks Singapore official",http://timesofindia.indiatimes.com//city/patna/Patnaites-lack-of-civic-sense-irks-Singapore-official/articleshow/5978740.cms
2011-11-16,"Smugglers exploit lack of infrastructure at airport",http://timesofindia.indiatimes.com//city/chennai/-Smugglers-exploit-lack-of-infrastructure-at-airport/articleshow/10749935.cms
2010-07-08,"Forged sign case: Biz honchos reiterate lack of involvement",http://timesofindia.indiatimes.com//city/ahmedabad/Forged-sign-case-Biz-honchos-reiterate-lack-of-involvement/articleshow/6144823.cms
